"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2010","40.14","36.50","40.10","36.04","154.35K","9.67%"
"06/01/2010","36.60","38.00","38.78","36.15","137.53K","-3.86%"
"05/01/2010","38.07","39.15","39.28","37.25","88.31K","-2.66%"
"04/01/2010","39.11","39.18","41.15","38.97","80.84K","0.39%"
"03/01/2010","38.96","40.33","41.60","38.72","135.01K","-2.92%"
"02/01/2010","40.13","37.10","40.32","36.70","271.44K","8.37%"
"01/01/2010","37.03","41.16","42.28","36.71","168.99K","-10.03%"
"12/01/2009","41.16","41.08","42.81","38.45","244.31K","0.46%"
"11/01/2009","40.97","36.95","41.55","36.95","220.22K","10.25%"
"10/01/2009","37.16","34.75","39.52","34.14","179.60K","6.94%"
"09/01/2009","34.75","35.60","36.26","33.45","325.59K","-2.39%"
"08/01/2009","35.60","35.85","39.20","35.35","414.51K","0.51%"
"07/01/2009","35.42","35.50","36.47","32.29","126.99K","0.08%"
"06/01/2009","35.39","39.48","40.94","34.85","166.29K","-10.13%"
"05/01/2009","39.38","36.46","40.34","36.46","91.62K","7.36%"
"04/01/2009","36.68","33.90","37.81","33.82","40.63K","7.63%"
"03/01/2009","34.08","31.36","34.16","30.04","99.99K","8.40%"
"02/01/2009","31.44","33.40","35.37","30.26","183.39K","-6.12%"
"01/01/2009","33.49","34.19","37.81","32.88","150.78K","-1.35%"
"12/01/2008","33.95","33.30","34.26","28.52","234.33K","1.83%"
"11/01/2008","33.34","34.81","38.04","30.68","148.56K","-3.53%"
"10/01/2008","34.56","45.46","45.92","31.65","187.65K","-23.20%"
"09/01/2008","45.00","53.22","53.25","44.03","434.22K","-16.97%"
"08/01/2008","54.20","58.50","58.72","50.08","416.91K","-7.89%"
"07/01/2008","58.84","66.50","68.36","57.73","112.80K","-11.78%"
"06/01/2008","66.70","61.76","68.50","60.87","78.96K","7.58%"
"05/01/2008","62.00","58.13","64.90","56.13","51.64K","5.75%"
"04/01/2008","58.63","51.04","64.09","50.04","35.86K","11.72%"
"03/01/2008","52.48","69.30","73.32","52.48","280.19K","-24.29%"
"02/01/2008","69.32","54.82","69.80","54.82","280.65K","26.45%"
"01/01/2008","54.82","50.43","55.20","50.25","172.87K","9.40%"
"12/01/2007","50.11","46.66","50.48","45.25","259.10K","7.32%"
"11/01/2007","46.69","43.34","47.92","42.01","187.38K","7.73%"
"10/01/2007","43.34","40.41","43.64","38.55","150.85K","7.25%"
"09/01/2007","40.41","37.47","40.84","37.26","287.54K","8.89%"
"08/01/2007","37.11","38.45","38.47","34.53","366.39K","-3.23%"
"07/01/2007","38.35","37.34","38.60","36.66","60.72K","3.20%"
"06/01/2007","37.16","36.15","38.08","34.94","53.69K","2.74%"
"05/01/2007","36.17","33.91","36.50","33.02","25.38K","6.79%"
"04/01/2007","33.87","33.03","34.18","31.83","20.22K","2.08%"
"03/01/2007","33.18","31.29","33.75","30.15","56.64K","6.52%"
"02/01/2007","31.15","30.43","32.14","30.33","102.47K","2.94%"
"01/01/2007","30.26","30.27","30.87","28.35","95.22K","0.40%"
