Date;Food;Fertil;GPRH;Metal;Oil;Raw_Material;Temperature Anomalies;VIX;Euro_Dollars;Viande;Huile;Wheat;Sucre
2011-05-01;135,2;108,35564802136;90,7013473510742;118,49279648344;100,9;125,99048434931;0,55;15,45;1,4394;103,75;59,04;787,13;23,18
2011-06-01;135;146,01848169353;77,3432540893555;116,97693495795;96,26;124,37217873468;0,64;16,52;1,4504;112,75;55,45;600,38;28,36
2011-07-01;133,2;153,44880925391;68,4137496948242;120,98702273544;97,3;121,1942782004;0,65;25,25;1,4395;112,62;56;674,88;29,81
2011-08-01;133;155,85325518967;71,489616394043;114,76937520668;86,33;121,31508178655;0,65;31,620001;1,4377;113;59,07;788,13;29,68
2011-09-01;130,4;160,61171702185;72,504035949707;109,08108734898;85,52;120,09520875702;0,59;42,959999;1,3384;122,15;50,48;606;26,34
2011-10-01;125,7;160,81943238104;66,2100677490234;98,38978774846;86,32;115,68802251406;0,61;29,959999;1,3856;119,8;51,79;629,25;25,77
2011-11-01;126,1;158,78996767637;70,8801956176758;95,83966482156;97,16;106,32052358125;0,49;27,799999;1,3441;121,6;49,93;614,88;23,69
2011-12-01;122,1;149,11074290464;75,7466049194336;95,07594280566;98,56;104,23668802442;0,55;23,4;1,2945;122,9;52,78;653,13;23,3
2012-01-01;122,4;138,55776269623;68,2678680419922;100,50247509191;100,27;105,72491424471;0,44;19,440001;1,3078;124,85;51,72;666,63;23,09
2012-02-01;125,4;139,32665972583;76,5500411987305;104,00500763309;102,2;107,84797657989;0,45;18,43;1,3324;127,65;54,87;667,88;25,01
2012-03-01;125,8;136,90574068752;74,9962387084961;103,54326762651;106,16;106,46361030893;0,51;15,5;1,3343;120,45;55,7;658,88;23,82
2012-04-01;124,4;154,33703779472;78,8109130859375;100,95386652161;103,32;106,25556847603;0,73;17,15;1,324;118,75;55,23;652,63;21,12
2012-05-01;119;161,10366070361;70,2324905395508;96,62863982128;94,66;104,59761513552;0,74;24,059999;1,2356;117,1;49,63;645,63;19,78
2012-06-01;115,9;152,75350487305;61,874813079834;91,63118125981;82,3;98,81427164418;0,72;17,08;1,2658;116,55;52,59;758,88;21,01
2012-07-01;122,1;118,63775599334;67,4638671875;91,1857005338;87,9;97,54645935137;0,7;18,93;1,2303;118,88;52,99;892,63;22,9
2012-08-01;123,4;140,40886073762;68,635986328125;87,65118551064;94,13;95,74417280876;0,7;17,469999;1,2575;118,08;57,08;888,63;20,51
2012-09-01;125,2;140,67719505147;61,4419250488281;93,5892224785;94,51;98,13747360269;0,74;15,73;1,2858;122,08;53;895,63;20,42
2012-10-01;124;134,99042302858;69,4249267578125;94,00176961033;89,49;98,63831044944;0,7;18,6;1,2958;126,75;50,95;866,88;19,4
2012-11-01;123,6;138,4240247523;67,2800750732422;92,41514908431;86,53;97,21219419427;0,7;15,87;1,2984;126,72;50,23;863,5;19,38
2012-12-01;122,9;136,61751968479;65,622200012207;97,42328329313;87,86;99,10046259567;0,47;18,02;1,3194;129,9;50,18;778,5;19,6
2013-01-01;123,4;131,81737763805;70,8666000366211;100,28575364763;94,76;99,46072465847;0,62;14,28;1,3578;127,62;53,56;781,63;18,84
2013-02-01;123,3;136,40502217246;72,4058151245117;101,34065726775;95,31;97,20975938659;0,66;15,51;1,3056;128;49,42;716,38;18,39
